Age,Q-1(GENDER),Q-2,Q-3,1,2,3,4,5,6,7,Total,1,2,3,Total,,,1,2,3,4,5,6,Total,,1,2,3,4,5,Total,Q-11,Q-12,1,2,3,4,total,Q-14,Q-15,Q-16,Q-17(digital detox)
3,2,2,3,1,0,3,0,5,0,7,4,1,2,0,3,3,2,1,2,3,4,0,0,10,9,1,2,0,0,5,8,2,2,0,0,3,4,7,3,1,3,2
3,1,2,3,1,2,3,4,5,6,7,7,1,2,0,3,3,2,1,2,3,4,0,6,16,7,1,2,3,4,5,15,2,2,1,2,3,4,10,3,2,3,1
3,1,2,3,1,0,0,4,5,6,7,5,1,2,0,3,3,2,1,2,3,4,0,0,10,8,1,2,3,0,0,6,2,2,1,0,0,0,1,3,2,3,2
2,2,2,3,1,2,0,4,0,6,7,5,1,2,0,3,1,2,1,2,3,4,0,0,10,9,1,2,0,0,5,8,2,2,0,2,3,0,5,3,3,3,2
3,2,2,2,1,0,3,4,5,0,7,5,1,2,0,3,2,1,1,2,3,4,0,0,10,6,0,2,3,0,0,5,2,2,1,0,0,4,5,3,2,3,2
3,1,2,2,1,0,0,4,5,0,7,4,1,2,0,3,1,2,1,2,3,0,0,0,6,7,1,2,3,4,0,10,1,2,1,2,3,4,10,3,1,3,2
3,2,2,2,1,2,0,4,5,6,7,6,1,2,0,3,1,2,1,2,3,4,0,0,10,9,1,2,3,0,0,6,2,2,1,0,0,0,1,3,5,3,2
3,2,2,3,1,0,0,0,5,0,0,2,1,0,0,1,1,1,1,2,3,4,0,0,10,7,1,2,3,0,0,6,1,2,1,0,0,4,5,2,2,2,2
3,1,2,3,1,0,3,4,5,0,7,5,1,2,0,3,1,1,1,2,3,4,0,0,10,7,1,0,3,0,5,9,2,2,1,2,0,4,7,2,2,2,2
3,1,2,3,1,0,0,4,5,0,7,4,1,0,0,1,2,2,1,2,3,4,0,0,10,7,1,0,0,0,5,6,2,1,1,2,3,4,10,3,5,3,1
2,2,1,1,1,2,0,0,0,0,7,3,1,2,0,3,2,2,1,2,3,4,0,0,10,6,1,2,3,0,0,6,2,2,1,0,3,0,4,3,1,3,1
3,1,2,3,1,2,3,4,5,6,7,7,1,0,0,1,3,2,1,2,3,4,0,6,16,6,1,2,3,0,0,6,2,2,0,0,0,4,4,2,4,2,1
3,2,2,3,1,0,0,0,5,0,7,3,1,0,3,4,3,2,1,2,3,4,0,6,16,5,0,2,3,0,0,5,2,1,1,0,3,0,4,3,4,3,1
3,1,2,3,1,0,0,4,5,0,7,4,1,0,0,1,1,2,1,2,3,4,0,6,16,8,1,2,3,0,5,11,1,2,0,2,0,4,6,3,2,3,1
3,2,2,2,1,0,0,0,5,0,0,2,1,2,0,3,2,2,1,2,3,4,0,0,10,6,1,0,0,4,5,10,2,2,1,2,3,4,10,3,2,3,2
1,2,2,2,1,0,0,0,0,0,7,2,1,0,0,1,2,2,1,2,3,0,0,6,12,9,1,2,3,0,0,6,2,2,0,2,3,4,9,3,1,3,1
3,2,2,3,1,0,0,0,0,0,7,2,1,0,0,1,2,1,1,2,3,4,0,6,16,7,1,2,3,0,0,6,2,2,1,0,0,4,5,3,4,3,1
3,2,2,1,1,2,0,0,0,0,7,3,1,0,0,1,2,1,1,2,3,0,0,6,12,5,0,2,3,0,0,5,1,1,1,0,0,0,1,2,4,2,1
3,2,2,2,1,0,0,4,0,6,0,3,1,0,0,1,1,2,1,2,3,4,0,6,16,6,1,2,0,0,0,3,1,2,1,2,0,0,3,3,4,3,2
2,2,2,2,1,2,0,0,5,0,0,3,1,0,0,1,2,1,1,2,3,4,0,6,16,9,0,2,0,0,0,2,2,2,1,0,0,4,5,3,4,3,1
3,2,2,2,1,0,0,4,5,0,0,3,1,0,0,1,3,2,1,2,3,4,0,0,10,8,1,2,3,0,5,11,2,2,0,0,0,4,4,3,2,3,1
3,2,2,1,1,2,0,4,5,0,0,4,1,0,3,4,1,1,1,2,3,4,0,0,10,4,1,0,0,4,0,5,2,1,1,0,0,0,1,2,3,2,1
2,1,2,2,1,0,0,4,5,0,0,3,1,2,0,3,2,2,1,2,3,4,0,6,16,8,1,0,3,0,5,9,2,2,1,0,3,4,8,3,3,3,1
3,2,2,3,1,2,0,4,0,0,0,3,1,0,0,1,2,2,1,2,3,4,0,6,16,8,1,0,3,0,0,4,1,2,1,0,0,0,1,3,2,3,2
3,2,2,3,1,0,0,4,5,0,7,4,1,2,0,3,2,1,1,2,3,0,0,6,12,8,1,0,0,0,0,1,1,2,1,2,3,4,10,3,1,3,1
3,1,2,3,1,0,0,4,0,0,7,3,1,2,0,3,1,2,1,2,3,4,0,6,16,5,0,2,0,0,0,2,1,1,1,0,3,4,8,3,2,3,1
3,1,2,1,1,0,0,4,0,0,7,3,1,0,0,1,1,1,1,0,3,4,0,6,14,7,1,2,3,0,0,6,1,2,1,0,3,0,4,3,2,3,1
3,1,2,1,1,2,0,4,0,0,7,4,1,0,0,1,2,2,0,2,3,4,0,6,15,5,0,2,0,0,0,2,1,2,1,0,3,0,4,2,3,2,1
1,1,2,2,1,2,0,0,0,0,7,3,1,0,0,1,3,1,0,2,3,4,0,0,9,5,0,2,0,0,0,2,1,2,1,0,3,0,4,3,2,3,1
3,2,2,3,1,2,0,0,0,0,7,3,1,0,0,1,3,1,0,2,3,4,0,6,15,8,1,2,3,0,0,6,2,2,1,0,0,0,1,3,2,3,1
3,2,2,2,1,2,0,0,0,0,7,3,1,0,0,1,3,2,0,2,3,4,0,6,15,7,1,2,0,0,0,3,2,2,1,0,0,0,1,3,4,3,1
3,2,2,1,1,2,0,0,0,0,7,3,1,2,0,3,2,1,0,0,3,4,0,6,13,4,1,2,0,0,0,3,2,2,1,0,0,4,5,2,4,2,1
3,2,2,3,1,2,3,0,0,6,7,5,1,0,0,1,3,2,1,2,3,4,0,6,16,8,1,2,0,0,0,3,2,2,1,0,0,0,1,3,4,3,2
3,1,2,1,1,0,3,0,0,6,7,4,1,0,0,1,2,1,1,2,3,0,0,6,12,5,1,0,3,0,0,4,2,2,1,0,0,0,1,3,5,3,1
3,2,2,2,1,0,3,4,5,0,7,5,1,0,0,1,1,2,1,2,3,4,0,6,16,6,1,2,0,0,5,8,2,1,1,0,0,0,1,3,4,3,2
3,1,2,3,1,0,3,0,5,6,7,5,1,2,0,3,3,2,1,2,3,4,0,6,16,7,1,2,0,0,0,3,1,2,1,0,3,0,4,3,1,3,2
3,2,2,1,1,0,3,4,5,0,7,5,1,2,0,3,1,2,0,2,3,4,0,6,15,10,1,2,0,0,0,3,1,2,1,0,0,4,5,2,2,2,2
3,2,1,1,1,0,0,0,5,0,7,3,1,2,0,3,2,1,0,2,3,4,0,6,15,5,1,0,0,0,0,1,2,1,1,0,0,0,1,2,2,2,1
3,1,2,3,1,2,0,4,0,0,7,4,1,2,0,3,1,1,1,2,3,4,0,6,16,6,0,2,3,4,0,9,2,2,1,2,0,0,3,3,4,3,2
3,-,2,1,1,2,0,0,0,0,7,3,1,2,0,3,1,2,0,2,3,4,0,6,15,7,0,2,0,0,0,2,1,1,0,2,0,4,6,3,2,3,1
3,2,2,1,1,2,3,4,5,0,7,6,1,2,0,3,2,2,1,2,3,4,0,6,16,5,1,2,3,0,0,6,1,2,1,2,0,4,7,2,4,2,1
3,1,2,2,1,2,3,0,5,0,7,5,1,2,0,3,1,1,0,2,0,4,0,0,6,4,0,2,3,0,0,5,1,2,1,0,3,0,4,3,1,3,2
3,1,2,3,1,2,0,4,0,0,7,4,1,0,0,1,3,2,1,2,3,4,0,6,16,10,1,0,3,0,0,4,2,2,1,0,3,0,4,3,2,3,1
3,2,2,1,1,0,0,0,5,0,7,3,1,0,0,1,2,2,0,2,3,4,0,6,15,5,1,2,3,0,0,6,1,2,1,0,0,0,1,2,4,2,1
3,2,2,3,1,2,0,0,0,0,7,3,1,0,0,1,3,1,1,2,3,4,0,6,16,8,1,2,3,0,0,6,1,2,1,0,0,0,1,3,2,3,2
3,2,2,2,1,0,3,0,5,6,7,5,1,0,0,1,2,2,0,2,3,4,0,6,15,6,1,2,3,4,0,10,1,2,1,0,0,4,5,3,2,3,1
3,2,2,2,1,0,0,0,0,6,7,3,1,0,0,1,1,1,1,2,3,4,0,6,16,6,1,2,3,0,0,6,1,2,1,0,0,0,1,3,1,3,1
3,2,2,3,1,0,3,0,5,6,0,4,1,0,0,1,3,1,0,2,3,4,5,6,20,6,1,2,3,0,0,6,2,2,1,2,0,0,3,3,1,3,1
3,2,2,2,1,2,0,0,5,0,0,3,1,0,0,1,3,1,1,2,3,4,0,6,16,8,1,0,3,0,5,9,2,2,1,2,0,4,7,3,4,3,1
3,1,2,1,1,2,0,4,0,0,0,3,1,2,0,3,2,2,0,2,3,4,0,6,15,8,0,0,3,0,5,8,1,2,1,0,0,0,1,3,5,3,1
3,2,2,2,1,0,0,4,5,0,0,3,1,0,0,1,3,2,1,2,3,4,0,6,16,8,1,2,3,0,0,6,1,2,1,0,0,4,5,3,4,3,2
3,1,2,3,1,0,0,4,0,0,0,2,1,2,0,3,3,2,0,2,3,4,0,0,9,10,1,2,3,0,0,6,2,2,1,0,3,0,4,2,2,2,2
3,2,2,2,1,2,0,4,5,0,7,5,1,0,0,1,1,2,1,2,3,4,0,6,16,7,1,0,3,0,0,4,1,2,0,0,0,0,0,3,4,3,2
3,2,2,1,1,2,3,4,0,0,7,5,1,2,0,3,2,1,0,2,3,4,0,0,9,3,1,2,3,0,0,6,2,2,1,0,0,0,1,3,3,3,2
3,2,2,2,1,0,0,4,5,0,0,3,1,0,0,1,1,1,1,2,3,4,0,6,16,8,1,2,3,0,0,6,2,2,1,0,0,0,1,3,1,3,1
1,1,2,2,1,2,3,0,0,0,0,3,1,2,0,3,1,2,0,2,3,4,0,6,15,5,1,2,3,0,0,6,1,2,1,0,0,0,1,3,5,3,1
3,1,2,3,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,2,3,4,0,6,16,7,0,2,0,0,0,2,1,2,1,0,3,0,4,3,2,3,1
3,1,2,2,1,2,3,0,0,0,7,4,1,0,0,1,2,1,1,2,3,4,0,6,16,10,1,2,0,4,0,7,1,1,1,0,3,0,4,3,5,3,1
2,1,1,1,1,0,0,0,0,0,7,2,1,0,0,1,2,2,1,2,3,4,0,6,16,7,1,2,0,4,5,12,2,2,1,2,0,0,3,3,2,3,1
2,2,2,3,1,0,0,0,0,0,7,2,1,0,0,1,2,2,1,2,3,4,0,0,10,8,1,2,0,4,0,7,1,2,1,0,0,4,5,3,2,3,1
2,2,2,2,1,2,0,0,0,0,7,3,1,0,0,1,1,1,1,2,3,4,0,6,16,7,1,0,0,4,0,5,2,2,1,0,0,0,1,3,4,3,1
2,1,2,1,1,0,0,4,0,0,7,3,1,2,0,3,2,2,0,2,3,4,0,6,15,7,1,0,0,0,0,1,1,2,1,0,0,4,5,2,2,2,2
3,2,2,2,1,2,0,4,0,0,7,4,1,2,0,3,3,2,0,2,3,4,0,6,15,8,1,0,0,0,0,1,1,2,1,0,3,0,4,2,4,2,1
3,2,2,1,1,0,3,4,5,0,0,4,1,2,0,3,2,1,0,2,3,4,0,6,15,6,1,2,0,0,0,3,2,2,1,0,0,4,5,3,2,3,1
3,2,2,2,1,2,3,4,5,0,0,5,1,2,0,3,3,1,1,2,3,4,0,6,16,8,1,2,0,0,0,3,2,2,1,2,3,0,6,3,2,3,2
3,2,2,3,1,2,3,0,5,6,0,5,1,0,3,4,3,2,1,0,3,4,0,6,14,8,1,2,0,0,0,3,2,2,1,0,0,0,1,3,4,3,1
3,2,2,3,1,0,3,4,5,6,0,5,1,2,0,3,1,1,1,2,3,4,0,6,16,9,1,2,0,0,0,3,1,2,1,0,0,0,1,3,4,3,1
3,2,2,3,1,2,3,0,5,0,0,4,1,2,0,3,1,1,1,2,3,4,0,6,16,6,1,2,0,0,0,3,2,2,1,0,0,0,1,3,4,3,2
3,2,2,2,1,2,3,0,0,6,0,4,1,0,0,1,3,1,1,0,3,4,0,6,14,10,0,2,0,0,0,2,2,2,0,0,0,0,0,2,4,2,1
3,1,2,1,1,0,0,4,0,6,0,3,1,2,0,3,1,1,1,2,3,4,0,6,16,5,1,2,3,0,0,6,2,2,1,0,0,0,1,2,2,2,1
2,2,2,2,1,2,0,0,5,0,0,3,1,0,0,1,3,2,1,0,3,4,0,6,14,10,1,2,0,0,0,3,2,2,1,0,3,0,4,3,4,3,1
2,1,2,1,1,2,0,4,0,6,7,5,1,0,0,1,2,2,1,2,3,4,0,6,16,7,1,0,0,0,0,1,1,2,1,0,0,0,1,3,2,3,1
2,1,2,2,1,2,0,0,5,0,7,4,1,2,0,3,1,2,1,2,3,0,5,6,17,8,1,0,3,0,0,4,1,2,1,2,0,0,3,2,2,2,1
3,2,2,1,1,2,0,4,0,6,7,5,1,0,0,1,2,1,1,2,3,4,0,6,16,8,1,2,0,4,0,7,1,2,1,0,0,0,1,2,2,2,2
3,2,2,3,1,0,0,0,5,0,7,3,1,0,0,1,3,2,1,2,3,4,0,0,10,9,0,2,0,0,5,7,2,2,1,0,0,0,1,3,1,3,1
3,1,2,2,2,0,0,0,0,0,7,2,1,2,0,3,2,1,1,2,3,4,0,6,16,5,1,2,0,0,5,8,1,2,1,0,0,4,5,3,1,3,2
1,2,2,2,1,0,0,0,0,0,7,2,1,2,0,3,1,1,1,2,3,4,0,6,16,5,1,0,3,0,0,4,2,1,1,0,0,0,1,2,2,2,2
3,2,2,3,1,0,0,0,0,6,7,3,1,0,0,1,3,1,1,2,3,4,0,6,16,8,1,0,0,0,0,1,2,2,0,0,0,0,0,2,3,2,2
1,2,2,2,1,2,0,0,0,6,7,4,1,0,0,1,3,2,1,2,3,4,0,6,16,10,1,0,0,0,0,1,2,2,1,0,0,0,1,3,2,3,1
3,2,2,3,1,0,0,0,5,0,7,3,1,2,0,3,3,2,1,2,3,4,0,6,16,10,1,0,0,0,0,1,2,2,1,0,0,0,1,2,3,2,2
1,2,2,3,1,2,0,0,5,6,7,5,1,0,0,1,2,1,1,2,3,4,5,6,21,7,1,0,3,0,0,4,2,1,1,0,3,0,4,3,2,3,2
3,2,2,3,1,0,0,4,5,0,7,4,1,0,0,1,3,2,1,2,0,4,0,6,13,10,1,2,3,0,0,6,2,2,1,0,0,0,1,3,2,3,2
3,2,2,2,1,2,0,4,5,0,7,5,1,2,0,3,3,2,0,2,3,4,0,6,15,6,1,2,3,0,0,6,1,2,1,2,0,0,3,3,4,3,2
3,1,2,1,1,0,0,4,5,0,7,4,1,0,0,1,2,1,1,2,3,4,0,6,16,6,0,0,3,0,0,3,2,1,1,0,0,0,1,3,2,3,2
3,1,2,1,1,0,0,4,5,0,7,4,1,0,0,1,2,2,1,2,3,0,0,6,12,9,1,0,3,0,0,4,1,1,1,0,3,0,4,2,2,2,1
2,1,2,3,1,2,0,4,5,0,7,5,1,2,0,3,3,2,1,2,3,4,0,6,16,9,1,0,3,0,0,4,2,2,1,0,0,0,1,3,2,3,1
3,2,2,2,1,0,0,4,0,0,7,3,1,0,0,1,1,1,1,2,3,4,0,0,10,8,1,0,3,0,0,4,1,2,1,0,0,0,1,3,4,3,2
2,2,2,1,1,2,0,4,0,0,7,4,1,0,0,1,3,2,1,2,3,4,0,6,16,10,1,2,3,4,5,15,2,2,1,0,0,0,1,3,5,3,2
3,2,2,1,1,2,0,4,0,0,7,4,1,0,0,1,2,1,1,2,3,4,0,6,16,7,1,2,3,0,5,11,1,2,0,0,0,0,0,3,2,3,2
2,1,2,1,1,2,0,4,0,0,0,3,1,0,0,1,2,2,0,2,3,4,0,6,15,8,1,0,0,0,0,1,2,2,0,0,0,0,0,3,4,3,1
3,2,2,2,1,0,0,4,0,0,7,3,1,0,3,4,1,1,1,2,3,4,0,6,16,6,1,2,3,0,0,6,2,2,1,0,0,4,5,2,4,2,1
3,2,2,1,1,0,0,4,0,0,7,3,1,0,0,1,3,1,1,0,3,4,0,6,14,8,1,0,3,0,0,4,2,2,1,0,0,4,5,3,4,3,1
3,2,2,1,1,0,0,0,0,0,7,2,1,0,0,1,1,2,0,0,3,4,0,6,13,5,1,0,3,0,0,4,2,2,1,0,0,4,5,3,2,3,2
3,2,2,3,1,0,0,0,0,0,7,2,1,0,0,1,1,1,1,2,3,4,0,0,10,3,1,2,3,0,0,6,1,2,1,0,0,4,5,3,4,3,1
3,2,2,2,1,2,0,0,5,0,7,4,1,0,0,1,2,1,0,2,3,4,0,6,15,1,1,2,3,0,0,6,2,1,1,2,3,0,6,3,4,3,1
3,2,2,1,1,2,0,0,0,0,7,3,1,0,0,1,2,1,0,2,3,4,0,6,15,7,1,0,3,0,0,4,1,2,1,0,0,0,1,3,1,3,1
3,1,2,3,1,2,3,0,5,0,0,4,1,0,0,1,3,2,0,2,3,0,0,6,11,9,1,0,3,0,0,4,1,2,1,0,0,4,5,3,5,3,2
3,2,2,2,1,2,3,0,0,0,0,3,1,2,0,3,2,2,0,2,3,4,0,6,15,8,1,2,3,0,5,11,2,2,1,0,0,0,1,3,2,3,1
3,2,1,1,1,2,3,0,5,0,0,4,1,2,0,3,2,1,1,2,3,4,0,6,16,5,1,0,3,0,0,4,2,2,1,0,0,4,5,3,5,3,2
3,2,2,3,1,0,0,0,5,0,0,2,1,0,0,1,1,1,1,2,3,4,0,6,16,7,1,0,3,4,0,8,2,2,1,0,0,4,5,2,2,2,2
3,1,2,3,1,0,0,0,5,0,0,2,1,2,0,3,1,1,1,2,3,4,0,6,16,4,0,2,3,0,5,10,2,2,1,0,0,4,5,2,2,2,2
3,2,2,2,1,0,0,0,5,0,0,2,1,0,0,1,1,1,1,2,3,4,0,6,16,5,1,2,3,0,0,6,2,2,1,0,0,0,1,3,4,3,1
3,1,2,2,1,0,0,0,0,0,0,1,1,0,0,1,3,2,1,2,3,4,0,6,16,7,1,2,3,0,0,6,2,2,0,0,0,4,4,2,5,2,1
3,2,2,3,1,2,0,4,0,0,0,3,1,0,0,1,2,1,1,2,3,4,5,0,15,2,1,2,3,0,0,6,2,2,1,0,0,0,1,2,4,2,2
3,2,2,3,1,2,0,0,0,0,7,3,1,0,0,1,1,1,1,2,3,4,0,0,10,4,1,2,3,0,0,6,,2,1,2,0,4,7,2,4,2,2
3,1,2,1,1,2,0,0,0,6,7,4,1,0,0,1,3,1,0,2,3,4,0,6,15,8,1,0,3,0,0,4,2,2,1,0,0,0,1,3,2,3,1
3,2,2,3,1,2,0,4,5,6,7,6,1,0,0,1,2,1,1,2,3,4,0,6,16,7,1,0,3,0,5,9,2,1,1,0,0,0,1,3,4,3,1
3,2,2,1,1,0,0,0,0,6,7,3,1,0,0,1,2,1,1,2,3,4,0,6,16,4,1,2,3,0,0,6,1,2,1,0,0,0,1,3,2,3,1
3,2,2,2,1,2,0,4,0,6,7,5,1,0,0,1,3,1,1,2,0,4,0,6,13,5,1,2,3,0,5,11,1,2,1,0,0,0,1,3,2,3,1
3,2,2,1,1,0,0,0,0,6,7,3,1,0,0,1,3,1,1,2,3,4,0,6,16,6,1,2,3,0,0,6,2,2,1,0,0,4,5,3,3,3,1
3,2,2,2,1,2,0,0,5,6,7,5,1,0,0,1,3,1,1,2,3,4,0,6,16,8,1,0,3,0,0,4,,,1,0,3,4,8,3,2,3,1
1,2,2,3,1,0,0,0,0,6,7,3,1,0,0,1,3,2,0,2,3,4,0,0,9,5,1,2,3,0,0,6,2,2,1,0,0,4,5,2,5,2,2
3,2,2,1,1,2,3,4,0,6,7,6,1,2,0,3,1,1,1,0,3,4,0,6,14,4,1,2,0,4,0,7,1,2,1,2,0,4,7,3,2,3,1
3,1,2,2,1,0,0,4,0,6,7,4,1,0,0,1,1,1,1,2,3,4,0,6,16,6,1,0,3,0,0,4,2,2,1,0,0,0,1,3,2,3,2
3,1,2,2,1,0,0,0,5,6,7,4,1,0,0,1,1,2,1,2,3,4,0,6,16,6,0,0,3,0,0,3,1,2,1,0,0,4,5,2,5,2,1
3,1,2,1,1,0,0,4,0,6,7,4,1,0,0,1,3,2,0,2,3,0,0,6,11,7,0,0,3,0,0,3,2,2,0,0,0,4,4,3,2,3,2
3,2,2,2,1,0,0,4,5,0,7,4,1,0,0,1,2,1,0,2,3,4,0,6,15,5,1,2,3,0,0,6,2,2,1,0,0,0,1,3,3,3,2
2,1,2,1,1,2,0,0,0,6,7,4,1,2,0,3,2,1,0,2,3,4,0,6,15,3,0,0,3,0,0,3,1,2,1,0,0,4,5,3,4,3,2
3,1,2,2,1,2,0,4,0,6,7,5,1,0,0,1,2,2,0,2,3,4,0,6,15,8,1,2,3,0,0,6,2,2,1,0,0,0,1,2,5,2,2
2,1,2,1,1,2,0,0,0,6,7,4,1,2,0,3,2,2,0,2,3,4,0,6,15,8,1,2,3,0,0,6,2,2,1,0,0,4,5,3,2,3,2
3,2,2,1,1,0,0,4,0,0,7,3,1,0,0,1,1,2,0,2,3,4,0,6,15,5,1,2,3,0,0,6,2,2,1,0,0,4,5,3,5,3,1
2,1,2,1,1,2,0,0,0,0,7,3,1,0,0,1,2,1,1,2,3,4,0,6,16,8,1,0,3,0,0,4,1,2,1,0,0,4,5,2,2,2,2
3,2,2,3,1,2,3,4,0,0,7,5,1,0,0,1,1,1,1,2,0,4,0,0,7,5,1,0,3,0,0,4,2,2,1,0,0,4,5,3,2,3,1
